Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
651,Apprentice or trainee - sales assistant (retail) ,Male,1673.00,54042.00,,,,
455,Apprentice or trainee - sales representative (wholesale),Female,508.00,53118.00,,,,
388,Apprentice or trainee - sales representative (wholesale),Male,723.00,73496.00,,,,
395,Apprentice or trainee - security and correctional services,Female,62.00,57531.00,,,,
624,Apprentice or trainee - security and correctional services,Male,131.00,55624.00,,,,
1086,Apprentice or trainee - shearer,Female,9.00,19671.00,,,,
1052,Apprentice or trainee - shearer,Male,43.00,27980.00,,,,
886,Apprentice or trainee - signwriter,Female,38.00,32736.00,,,,
1022,Apprentice or trainee - signwriter,Male,191.00,30528.00,,,,
1089,Apprentice or trainee - sport and recreation,Female,114.00,17983.00,,,,
1101,Apprentice or trainee - sport and recreation,Male,210.00,19586.00,,,,
1074,Apprentice or trainee - stablehand,Female,21.00,21810.00,,,,
1096,Apprentice or trainee - stablehand,Male,12.00,22520.00,,,,
1030,Apprentice or trainee - storeperson,Female,58.00,25475.00,,,,
1044,Apprentice or trainee - storeperson,Male,213.00,28950.00,,,,
856,Apprentice or trainee - telecommunications technical specialist,Female,17.00,33653.00,,,,
875,Apprentice or trainee - telecommunications technical specialist,Male,190.00,41212.00,,,,
946,Apprentice or trainee - telecommunications tradesperson,Female,11.00,30132.00,,,,
927,Apprentice or trainee - telecommunications tradesperson,Male,181.00,37543.00,,,,
1087,Apprentice or trainee - tiler,Female,7.00,19542.00,,,,
1082,Apprentice or trainee - tiler,Male,762.00,24995.00,,,,
859,Apprentice or trainee - tourism and travel adviser,Female,127.00,33620.00,,,,
1005,Apprentice or trainee - tourism and travel adviser,Male,44.00,32018.00,,,,
688,Apprentice or trainee - transport and distribution driver,Female,24.00,41380.00,,,,
742,Apprentice or trainee - transport and distribution driver,Male,95.00,48629.00,,,,
936,Apprentice or trainee - upholsterer,Female,10.00,30746.00,,,,
1058,Apprentice or trainee - upholsterer,Male,55.00,27482.00,,,,
966,Apprentice or trainee - veterinary nurse,Female,392.00,29161.00,,,,
1034,Apprentice or trainee - veterinary nurse,Male,17.00,29622.00,,,,
943,Apprentice or trainee - watch and clock maker,Male,15.00,36213.00,,,,
1033,Apprentice or trainee - wood tradesperson,Female,18.00,25274.00,,,,
1047,Apprentice or trainee - wood tradesperson,Male,577.00,28636.00,,,,
904,Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer,Female,219.00,32020.00,,,,
